name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
America the Beautiful 2: The Thin Commandments,30,68,42,['Documentary'],,1h 44m,2011,['Darryl Roberts'],['Darryl Roberts']
The Curse of Sleeping Beauty,15,31,20,"['Fantasy', 'Mystery & Thriller', 'Adventure']",,1h 27m,2016,"['Ethan Peck', 'India Eisley', 'Natalie Hall', 'Bruce Davison', 'James Adam Lim']",['Pearry Teo']
Spotlight,97,93,95,['Drama'],R,2h 8m,2015,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery']",['Tom Mccarthy']
It,86,84,85,"['Horror', 'Mystery & Thriller']",R,2h 15m,2017,"['Jaeden Martell', 'Jeremy Ray Taylor', 'Sophia Lillis', 'Finn Wolfhard', 'Chosen Jacobs']",['Andy Muschietti']
Stitch! The Movie,20,51,30,"['Kids & Family', 'Comedy', 'Animation']",G,1h 4m,2003,"['Christopher Sanders', 'Daveigh Chase', 'Tia Carrere', 'David Ogden Stiers', 'Kevin McDonald']","['Tony Craig 2', 'Roberts Gannaway 9', 'Roberts Gannaway 9']"
Irrational Man,46,47,46,['Comedy'],R,1h 34m,2015,"['Jamie Blackley', 'Joaquin Phoenix', 'Parker Posey', 'Emma Stone', 'Betsy Aidem']",['Woody Allen']
There's Something Wrong with the Children,62,26,49,"['Horror', 'Mystery & Thriller']",,1h 32m,2023,"['Alisha Wainwright', 'Zach Gilford', 'Amanda Crew', 'Carlos Santos', 'Ramona Tyler']",['Roxanne Benjamin']
Don't Worry Baby,57,58,57,"['Comedy', 'Drama']",R,1h 28m,2015,"['John Magaro', 'Christopher McDonald', 'Dreama Walker', 'Tom Lipinski', 'Talia Balsam']",['Julian Branciforte 2']
Colonia,29,61,39,"['Mystery & Thriller', 'History', 'Drama', 'Romance']",R,1h 50m,2015,"['Emma Watson', 'Daniel Brühl', 'Michael Nyqvist', 'Richenda Carey', 'Vicky Krieps']",['Florian Gallenberger']
The Disappeared,64,43,57,['Horror'],,1h 37m,2008,"['Harry Treadaway', 'Greg Wise', 'Alex Jennings', 'Tom Felton', 'Finlay Robertson']",['770691151']
"To Wong Foo, Thanks for Everything, Julie Newmar",45,71,53,"['Comedy', 'LGBTQ+']",PG-13,1h 48m,1995,"['Wesley Snipes', 'Patrick Swayze', 'John Leguizamo', 'Stockard Channing', 'Blythe Danner']",['Beeban Kidron']
Lifeforce,56,46,52,"['Sci-Fi', 'Horror']",R,1h 40m,1985,"['Steve Railsback', 'Peter Firth', 'Mathilda May', 'Patrick Stewart', 'Michael Gothard']",['Tobe Hooper']
Mahanagar,93,92,92,"['Comedy', 'Drama']",,2h 11m,1963,"['Anil Chatterjee', 'Madhabi Mukherjee', 'Jaya Bhaduri', 'Haren Chatterjee', 'Sefalika Devi']",['Satyajit Ray']
Hardcore Henry,51,55,52,"['Action', 'Sci-Fi']",R,1h 35m,2015,"['Sharlto Copley', 'Danila Kozlovsky', 'Haley Bennett', 'Darya Charusha', 'Svetlana Ustinova']",['Ilya Naishuller']
The Sin of Harold Diddlebock,89,58,78,['Comedy'],G,1h 30m,1947,"['Harold Lloyd', 'Frances Ramsden', 'Jimmy Conlin', 'Raymond Walburn', 'Edgar Kennedy']",['Preston Sturges']
Every Thing Will Be Fine,28,24,26,['Drama'],,1h 58m,2015,"['James Franco', 'Charlotte Gainsbourg', 'Rachel McAdams', 'Marie-Josée Croze', 'Peter Stormare']",['Wim Wenders']
The Unauthorized Full House Story,20,19,19,['Drama'],TVPG,1h 30m,2015,"['Garrett Brawith', 'Justin Mader', 'Justin Gaston', 'Stephanie Bennett', 'Shelby Armstrong']",['Brian K Roberts']
Cat on a Hot Tin Roof,97,92,95,['Drama'],,1h 48m,1958,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Jack Carson', 'Judith Anderson']",['1001975 Richard Brooks']
Full Time,98,92,96,"['Mystery & Thriller', 'Drama']",,1h 27m,2021,"['Laure Calamy', 'Anne Suarez', 'Geneviève Mnich', 'Cyril Gueï', 'Lucie Gallo']",['Eric Gravel']
Little Red Wagon,45,60,50,['Drama'],PG,1h 44m,2012,"['Chandler Canterbury', 'Anna Gunn', 'Daveigh Chase', ""Frances O'Connor"", 'Anthony Reynolds']",['David Anspaugh']
Tig,79,85,81,['Documentary'],,1h 35m,2015,"['Tig Notaro', 'Kristina Goolsby', 'Ashley York', 'Jennifer Arnold', 'Michael B. Clark']","['Kristina Goolsby', 'Ashley York']"
Stalker,80,31,63,"['Mystery & Thriller', 'Horror']",,1h 38m,2022,"['Sophie Skelton', 'Stuart Brennan', 'Bret ""The Hitman"" Hart', 'Steve Johnson', 'Chris Watt']",['Steve Johnson 4']
Friday Night Lights,82,85,83,['Drama'],PG-13,1h 57m,2004,"['Billy Bob Thornton', 'Derek Luke', 'Jay Hernandez', 'Lucas Black', 'Garrett Hedlund']",['Pete Berg']
Mother's Boys,43,28,38,['Mystery & Thriller'],R,1h 35m,1994,"['Jamie Lee Curtis', 'Peter Gallagher', 'Joanne Whalley', 'Vanessa Redgrave', 'Luke Edwards']",['Yves Simoneau']
Suited,100,80,93,"['Documentary', 'LGBTQ+']",,1h 17m,2016,"['Jillian T. Weiss', 'Jason Benjamin', 'Sheila Nevins', 'Lena Dunham', 'Carly Hugo']",['Jason Benjamin']
BFFs,100,85,94,['Comedy'],,1h 30m,2014,"['Tara Karsian', 'Andrea Luna Grano', 'Larisa Oleynik', 'Sean Maher', 'Molly Hagan']",['Andrew Putschoegl']
Palo Alto,69,49,62,['Drama'],R,1h 37m,2013,"['James Franco', 'Emma Roberts', 'Nat Wolff', 'Zoe Levin', 'Claudia Levy']",['Gia Coppola']
Ride Lonesome,90,71,83,['Western'],,1h 13m,1959,"['Randolph Scott', 'Karen Steele', 'Pernell Roberts', 'James Best', 'Lee Van Cleef']",['Bud Boetticher']
Hank and Asha,65,76,68,"['Romance', 'Comedy']",,1h 13m,2013,"['Mahira Kakkar', 'Andrew Pastides', 'James E. Duff', 'James E. Duff', 'Julia Morrison']",['James E Duff']
Hangman,4,29,12,"['Mystery & Thriller', 'Crime', 'Drama']",R,1h 38m,2017,"['Al Pacino', 'Karl Urban', 'Brittany Snow', 'Joe Anderson', 'Sarah Shahi']",['Johnny Martin 5']
7 Days in Hell,87,70,81,['Comedy'],TVMA,42m,2015,"['Andy Samberg', 'Kit Harington', 'Karen Gillan', 'Lena Dunham', 'Michael Sheen']",['Jake Symanski']
The Lovers,8,19,11,"['Action', 'Adventure', 'Romance', 'Sci-Fi']",R,1h 45m,2014,"['Josh Hartnett', 'Alice Englert', 'Tamsin Egerton', 'Om Puri', 'Claire van der Boom']",['Roland Joffe 2']
Out Stealing Horses,72,47,63,['Drama'],,2h 3m,2019,"['Stellan Skarsgård', 'Tobias Santelmann', 'Pål Sverre Hagen', 'Bjørn Floberg', 'Danica Curcic']",['Hans Peter Moland']
The Trip,85,82,84,"['Action', 'Comedy']",,1h 53m,2021,"['Noomi Rapace', 'Aksel Hennie', 'André Eriksen', 'Atle Antonsen', 'Christian Rubeck']",['Tommy Wirkola']
Steelyard Blues,50,31,43,['Comedy'],PG,1h 33m,1973,"['Jane Fonda', 'Donald Sutherland', 'Peter Boyle', 'Garry Goodrow', 'Howard Hesseman']",['Alan Myerson']
Mystic India,86,76,82,['Drama'],,45m,2004,"[""Peter O'Toole"", 'Rupak Mehta', 'Latesh Patel', 'Keith Melton', 'Mose Richards']",['Keith Melton']
Resistance,57,79,64,"['Biography', 'History', 'Drama']",R,2h 0m,2020,"['Jesse Eisenberg', 'Ed Harris', 'Edgar Ramírez', 'Clémence Poésy', 'Matthias Schweighöfer']",['Jonathan Jakubowicz']
Triumph of the Spirit,63,53,59,['Drama'],R,2h 1m,1989,"['Willem Dafoe', 'Edward James Olmos', 'Robert Loggia', 'Wendy Gazelle', 'Kelly Wolf']",['Robert Malcolm Young']
The Visit,68,51,62,"['Mystery & Thriller', 'Horror']",PG-13,1h 34m,2015,"['Olivia DeJonge', 'Ed Oxenbould', 'Deanna Dunagan', 'Peter McRobbie', 'Kathryn Hahn']",['M Night Shyamalan']
In the Dark Half,67,26,53,"['Drama', 'Mystery & Thriller']",,1h 25m,2012,"['Jessica Barden', 'Simon Armstrong', 'Georgia Henshaw', 'Tim Lewis', 'Tony Curran']",['Alastair Siddons']
Blue Giant,100,100,99,"['Drama', 'Music', 'Anime']",,2h 0m,2023,"['Yuki Yamada', 'Shôtarô Mamiya', 'Amane Okayama', 'Yuzuru Tachikawa', 'Shinichi Ishizuka']",['Yuzuru Tachikawa']
Hunted,56,48,53,"['Action', 'Mystery & Thriller']",R,1h 34m,2022,"['Samantha Bond', 'Malachi Pullar-Latchman', 'James Lance', 'Hannah Traylen', 'Nick Moran']",['Tommy Boulding']
DamNation,50,80,59,"['Documentary', 'Adventure']",,1h 27m,2014,"['Ben Knight', 'Yvon Chouinard', 'Katie Lee', 'Bruce Babbitt', 'Mikal Jakubal']","['Ben Knight 2', 'Travis Rummel']"
Another Kind of Wedding,60,50,56,"['Comedy', 'Drama']",,1h 26m,2017,"['Kathleen Turner', 'Kevin Zegers', 'Jessica Paré', 'Frances Fisher', 'Jacob Tierney']",['Pat Kiely']
Windtalkers,33,50,38,"['War', 'History', 'Drama']",R,2h 14m,2002,"['Nicolas Cage', 'Adam Beach', 'Peter Stormare', 'Noah Emmerich', 'Mark Ruffalo']",['John Woo']
Cold Mountain,70,77,72,"['Drama', 'War']",R,2h 35m,2003,"['Jude Law', 'Nicole Kidman', 'Renée Zellweger', 'Eileen Atkins', 'Brendan Gleeson']",['Anthony Minghella']
Len and Company,70,56,65,"['Comedy', 'Drama']",,1h 42m,2015,"['Rhys Ifans', 'Jack Kilmer', 'Juno Temple', 'Keir Gilchrist', 'Kathryn Hahn']",['Tim Godsall 2']
Dead Man Walking,95,85,91,"['Crime', 'Drama']",R,2h 2m,1995,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey']",['Tim Robbins']
Native Son,62,49,57,['Drama'],,1h 48m,2019,"['Ashton Sanders', 'Margaret Qualley', 'Nick Robinson', 'Sanaa Lathan', 'KiKi Layne']",['Rashid Johnson']
Stuck,52,83,62,"['Musical', 'Drama']",PG-13,1h 30m,2017,"['Giancarlo Esposito', 'Amy Madigan', 'Ashanti', 'Arden Cho', 'Omar Chaparro']",['Michael Berry 2']
Man vs Snake: The Long and Twisted Tale of Nibbler,90,76,85,['Documentary'],,1h 32m,2015,"['Walter Day', 'Dwayne Richard', 'Billy Mitchell', 'Tim Kinzy', 'Andrew Seklir']","['Tim Kinzy', 'Andrew Seklir 2']"
The Devil You Know,36,82,51,"['Crime', 'Drama', 'Mystery & Thriller']",R,1h 56m,2022,"['Omar Epps', 'Michael Ealy', 'William Catlett', 'Glynn Turman', 'Curtiss Cook']",['Charles Murray 2']
The Pack,55,20,43,"['Horror', 'Mystery & Thriller']",,1h 30m,2015,"['Anna Lise Phillips', 'Jack Campbell', 'Katie Moore', 'Hamish Phillips', 'Charles Mayer']",['Nick Robertson 2']
The Offering,74,48,65,"['Horror', 'Mystery & Thriller']",R,1h 33m,2022,"['Nick Blood', 'Emily Wiseman', 'Allan Corduner', 'Paul Kaye', 'Daniel Ben Zenou']",['Oliver Park']
The Kindness of Strangers,31,85,49,['Drama'],,1h 52m,2019,"['Jay Baruchel', 'Zoe Kazan', 'Andrea Riseborough', 'Bill Nighy', 'Caleb Landry Jones']",['Lone Scherfig']
Dead Man on Campus,15,55,28,['Comedy'],R,1h 33m,1998,"['Tom Everett Scott', 'Mark-Paul Gosselaar', 'Poppy Montgomery', 'Lochlyn Munro', 'Randy Pearlstein']",['Alan Cohn']
Standby,80,31,63,"['Romance', 'Comedy']",,1h 30m,2014,"['Jessica Paré', 'Brian Gleeson', 'Stanley Townsend', 'Francesca Cherruault', 'John Lynn']","['Rob Burke', 'Ronan Burke']"
The Fight Within,40,79,53,['Drama'],PG-13,1h 34m,2016,"['John Major Davis', 'Lelia Symington', 'Matt Leddo', 'Mike H. Taylor', 'Dan Severn']",['Michael William Gordon']
All Things Must Pass,94,82,90,['Documentary'],,1h 40m,2015,"['Chuck D', 'Chris Cornell', 'David Geffen', 'Dave Grohl', 'Elton John']",['Colin Hanks']
Ghostbusters: Afterlife,64,94,74,"['Comedy', 'Fantasy', 'Adventure']",PG-13,2h 4m,2021,"['Carrie Coon', 'Finn Wolfhard', 'Mckenna Grace', 'Paul Rudd', ""Celeste O'Connor""]",['Jason Reitman']
The Persian Version,82,90,84,"['Comedy', 'Drama', 'LGBTQ+', 'Romance']",R,1h 47m,2023,"['Layla Mohammadi', 'Niousha Noor', 'Kamand Shafieisabet', 'Bijan Daneshmand', 'Bella Warda']",['Maryam Keshavarz']
Hara-Kiri: Death of a Samurai,77,75,76,"['History', 'Drama']",,2h 6m,2011,"['Ebizô Ichikawa', 'Eita Nagayama', 'Hikari Mitsushima', 'Naoto Takenaka', 'Munetaka Aoki']",['Takashi Miike']
Amnesiac,27,14,22,['Mystery & Thriller'],,1h 24m,2014,"['Kate Bosworth', 'Wes Bentley', 'Olivia Rose Keegan', 'Shashawnee Hall', 'Richard Riehle']",['Mike Polish']
Long Story Short,53,63,56,"['Romance', 'Comedy', 'Fantasy']",R,1h 35m,2021,"['Rafe Spall', 'Zahra Newman', 'Ronny Chieng', 'Dena Kaplan', 'Noni Hazlehurst']",['Josh Lawson']
Tab Hunter Confidential,88,96,90,"['Documentary', 'LGBTQ+']",,1h 30m,2015,"['Tab Hunter', 'Jeffrey Schwarz', 'Allan Glaser', 'Neil Koenigsberg', 'Jeffrey Schwarz']",['Jeffrey Schwarz']
Jacqueline Argentine,29,70,42,['Mystery & Thriller'],,1h 27m,2016,"['Martin Anderson', 'James Benson', 'Wyatt Cenac', 'Sasha Dominy', 'Amr El-Bayoumi']",['Bernardo Britto']
Absolution,20,81,40,['Fantasy'],,1h 30m,2018,"['Jessica Falkholt', 'Eamon Farren', 'Jacqueline McKenzie', 'Jerome Meyer', 'Lewis Fitz-Gerald']",['Corey Pearson 2']
Ford v Ferrari,92,98,94,"['History', 'Drama', 'Biography']",PG-13,2h 32m,2019,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe', 'Tracy Letts']",['James Mangold']
Hands of Stone,44,52,46,"['Biography', 'History', 'Drama']",R,1h 45m,2016,"['Edgar Ramírez', 'Robert De Niro', 'Ana de Armas', 'Usher', 'Rubén Blades']",['Jonathan Jakubowicz']
What Comes Around,30,35,31,"['Mystery & Thriller', 'Romance', 'Drama']",,1h 23m,2022,"['Grace Van Dien', 'Summer Phoenix', 'Jesse Garcia', 'Kyle Gallner', 'Indiana Affleck']",['Amy Redford']
Mortal Kombat Legends: Snow Blind,80,87,82,"['Action', 'Adventure', 'Animation']",R,1h 22m,2022,"['Manny Jacinto', 'David Wenham', 'Patrick Seitz', 'Artt Butler', 'Debra Wilson']",['Rick Morales 2']
Like It Is,11,46,22,['Drama'],,1h 40m,1998,"['Roger Daltrey', 'Dani Behr', 'Ian Rose', 'Steve Bell', 'Christopher Hargreaves']",['Paul Oremland']
Being Mary Tyler Moore,97,74,89,"['Documentary', 'Biography']",,1h 59m,2023,"['Mary Tyler Moore', 'James L. Brooks', 'Rob Reiner', 'Treva Silverman', 'Beverly Sanders']",['James Adolphus']
The Librarian: Quest for the Spear,60,57,59,"['Action', 'Adventure', 'Fantasy']",TVPG,1h 36m,2004,"['Noah Wyle', 'Kyle MacLachlan', 'Sonya Walger', 'Jane Curtin', 'Kelly Hu']",['Peter Winther']
Dog Park,36,28,33,"['Romance', 'Comedy']",R,1h 31m,1998,"['Natasha Henstridge', 'Luke Wilson', 'Kathleen Robertson', 'Janeane Garofalo', 'Bruce McCulloch']",['Bruce Mcculloch']
Point Break,11,29,17,"['Action', 'Adventure', 'Mystery & Thriller']",PG-13,1h 49m,2015,"['Edgar Ramírez', 'Luke Bracey', 'Ray Winstone', 'Teresa Palmer', 'Matias Varela']",['Ericson Core']
