name,tomatometer,audience_score,weighted_score,genres,rating,duration,year,actors,directors
Nights in Rodanthe,30,52,37,"['Romance', 'Drama']",PG-13,1h 36m,2008,"['Richard Gere', 'Diane Lane', 'Christopher Meloni', 'Viola Davis', 'Scott Glenn']",['George C Wolfe']
Look at Me: XXXTENTACION,92,90,91,"['Documentary', 'Music', 'Biography']",,2h 0m,2022,"['XXXTENTACION', 'Sabaah Folayan', 'Chloe Campion', 'Darcy McKinnon', 'Cleopatra Bernard']",['Sabaah Folayan']
Kuso,36,56,42,"['Drama', 'Mystery & Thriller']",,1h 26m,2017,"['Zach Fox', 'Hannibal Buress', 'George Clinton', 'David Firth', 'Anders Holm']",['Flying Lotus']
Population Zero,78,51,69,"['Crime', 'Drama', 'Mystery & Thriller']",,1h 24m,2016,"['Julian T. Pinder', 'Julian T. Pinder', 'Adam Levins', 'Jeff Staranchuk', 'William Borthwick']","['Julian T Pinder', 'Adam Levins']"
Bring It On: All or Nothing,20,70,36,['Comedy'],PG-13,1h 39m,2006,"['Hayden Panettiere', 'Solange Knowles', 'Rihanna', 'Gus Carr', 'Emme Rylan']",['Steve Rash']
Batman and Harley Quinn,50,51,50,"['Action', 'Adventure', 'Animation']",PG-13,1h 16m,2017,"['Melissa Rauch', 'Kevin Conroy', 'Paget Brewster', 'Robin Atkin Downes', 'John DiMaggio']",['Sam Liu']
Blair Witch,38,31,35,"['Horror', 'Mystery & Thriller']",R,1h 29m,2016,"['James Allen McCune', 'Callie Hernandez', 'Corbin Reid', 'Brandon Scott', 'Wes Robinson']",['Adam Wingard']
Before the Flood,75,77,75,['Documentary'],PG,1h 33m,2016,"['Leonardo DiCaprio', 'Barack Obama', 'Pope Francis', 'Elon Musk', 'Bill Clinton']",['Fisher Stevens']
Ghost Town Anthology,97,67,86,"['Drama', 'Mystery & Thriller']",,1h 37m,2019,"['Jean-Michel Anctil', 'Normand Carrière', 'Larissa Corriveau', 'Josée Deschênes', 'Rémi Goulet']",['Denis Cote']
Tiger Bay,78,84,80,['Mystery & Thriller'],,1h 45m,1959,"['John Mills', 'Horst Bucholz', 'Hayley Mills', 'Yvonne Mitchell', 'Megs Jenkins']",['Lee Lee Thompson']
Dominion: Prequel to the Exorcist,30,25,28,['Horror'],R,1h 51m,2005,"['Stellan Skarsgård', 'Gabriel Mann', 'Clara Bellar', 'Ralph Brown', 'Andrew French']",['Paul Schrader']
Black Mass,73,68,71,"['Biography', 'Crime', 'Drama']",R,2h 2m,2015,"['Johnny Depp', 'Joel Edgerton', 'Benedict Cumberbatch', 'Dakota Johnson', 'Kevin Bacon']",['Scott Cooper']
Future Shock! The Story of 2000AD,83,62,76,['Documentary'],,1h 40m,2014,"['Dan Abnett', 'Geoff Barrow', 'Emma Beeby', 'Karen Berger', 'Lauren Beukes']",['Paul Goodwin']
Freeway,76,76,76,"['Mystery & Thriller', 'Comedy']",R,1h 42m,1996,"['Kiefer Sutherland', 'Reese Witherspoon', 'Brooke Shields', 'Wolfgang Bodison', 'Dan Hedaya']",['Matthew Bright']
The Nameless,20,42,27,['Horror'],,1h 42m,1999,"['Emma Vilarasau', 'Karra Elejalde', 'Tristán Ulloa', 'Pep Tosar', 'Brendan Price']",['Jaime Balaguero']
Cheyenne Autumn,60,45,55,['Western'],,2h 39m,1964,"['Richard Widmark', 'Carroll Baker', 'James Stewart', 'Karl Malden', 'Dolores del Río']",['John Ford']
All This Panic,94,69,85,['Documentary'],,1h 19m,2016,"['Delia Cunningham', 'Kevin Ryan', 'Dusty Rose Ryan', 'Lena M.', 'Ginger Leigh Ryan']",['Jenny Gage 2']
Brüno,67,41,58,"['Comedy', 'LGBTQ+']",R,1h 22m,2009,"['Sacha Baron Cohen', 'Gustaf Hammarsten', 'Paula Abdul', 'Harrison Ford', 'Bono']",['Larry Charles']
The Runner,31,86,49,['Mystery & Thriller'],R,1h 42m,2021,"['Elisabeth Röhm', 'Eric Balfour', 'Jessica Amlee', 'Nadji Jeter', 'Kerri Medders']",['Michelle Danner']
Deviation,13,19,15,['Mystery & Thriller'],,1h 30m,2012,"['Danny Dyer', 'Anna Walton', 'James Doherty', 'David Fynn', 'Alan McKenna']",['Jk Amalou']
Go With Me,20,28,22,['Mystery & Thriller'],R,1h 30m,2015,"['Anthony Hopkins', 'Julia Stiles', 'Alexander Ludwig', 'Ray Liotta', 'Hal Holbrook']",['Daniel Alfredson 2']
Landmine Goes Click,50,88,62,"['Action', 'Crime', 'Drama', 'Mystery & Thriller']",,1h 50m,2015,"['Sterling Knight', 'Spencer Locke', 'Dean Geyer', 'Nana Kiknadze', 'Nika Apriashvili']",['Levan Bakhia']
From the Ashes,100,82,93,['Documentary'],,1h 32m,2011,"['Tom Hardy', 'James Erskine', 'James Erskine', 'James Erskine', 'Victoria Gregory']",['James Erskine']
Kids in Love,38,29,35,['Drama'],,1h 27m,2016,"['Will Poulter', 'Alma Jodorowsky', 'Sebastian de Souza', 'Preston Thompson', 'Cara Delevingne']",['Chris Foggin']
Edge Codes.com: The Art of Motion Picture Editing,100,100,99,['Documentary'],,1h 15m,2004,"['Cameron Bailey', 'Mathilde Bonnefoy', 'Sarah Flack', 'Norman Jewison', 'George Lucas']",['Alex Shuper']
The Shelter,100,35,78,"['Drama', 'Horror', 'Mystery & Thriller']",,1h 17m,2015,"['Michael Paré', 'Lauren Alexandra', 'Gayle James', 'Thomas Johnston', 'Rachel G. Whittle']",['John Fallon']
Cut Bank,37,29,34,['Mystery & Thriller'],R,1h 29m,2014,"['Liam Hemsworth', 'Teresa Palmer', 'John Malkovich', 'Billy Bob Thornton', 'Michael Stuhlbarg']",['Matt Shakman']
Isn't It Delicious,40,89,56,"['Comedy', 'Drama']",,1h 46m,2013,"['Kathleen Chalfant', 'Keir Dullea', 'Alice Ripley', 'Mia Dillon', 'Robert LuPone']",['Michael Patrick Kelly']
(T)ERROR,91,74,85,['Documentary'],,1h 25m,2015,"['Lyric R. Cabral', 'David Felix Sutcliffe', 'Jonathan Oppenheim', 'Eugene Jarecki', 'Nick Fraser']","['Lyric R Cabral 2', 'David Felix Sutcliffe 2']"
The Tie That Binds,8,32,16,['Mystery & Thriller'],R,1h 38m,1995,"['Daryl Hannah', 'Keith Carradine', 'Moira Kelly', 'Vincent Spano', 'Julia Devin']",['Wesley Strick']
The Athlete,29,58,38,"['Biography', 'Drama']",,1h 25m,2009,"['Rasselas Lakew', 'Dag Malmberg', 'Ruta Gedmintas', 'Abba Waka Dessalegn', 'Davey Frankel']","['Davey Frankel', 'Rasselas Lakew']"
